"Scientific_Name","Beak.Width","Beak.Depth","Habitat","Trophic.Level"
"Camaroptera simplex",2.8,2.9,"Woodland","Carnivore"
"Camaroptera superciliaris",3.4,2.9,"Forest","Carnivore"
"Camaroptera undosa",2.6,3,"Woodland","Carnivore"
"Cisticola aberdare",3.1,3.8,"Grassland","Carnivore"
"Cisticola aberrans",2.8,3.3,"Rock","Carnivore"
"Cisticola angusticauda",2,2.5,"Woodland","Carnivore"
"Cisticola anonymus",2.8,3.5,"Woodland","Carnivore"
"Cisticola aridulus",2.2,2.4,"Grassland","Carnivore"
"Cisticola ayresii",2,2.4,"Grassland","Carnivore"
"Cisticola bodessa",2.9,3.8,"Shrubland","Carnivore"
"Cisticola brachypterus",2.1,2.5,"Woodland","Carnivore"
"Cisticola brunnescens",2.2,2.7,"Grassland","Carnivore"
"Cisticola bulliens",2.8,3.2,"Grassland","Carnivore"
"Cisticola cantans",2.4,3,"Shrubland","Carnivore"
"Cisticola carruthersi",2.3,2.8,"Wetland","Carnivore"
"Cisticola cherina",2.2,2.7,"Shrubland","Carnivore"
"Cisticola chiniana",2.8,3.4,"Shrubland","Carnivore"
"Cisticola chubbi",3.1,3.6,"Shrubland","Carnivore"
"Cisticola cinereolus",2.6,3.3,"Desert","Carnivore"
"Cisticola dambo",2.1,2.6,"Grassland","Carnivore"
"Cisticola discolor",3.1,3.6,"Shrubland","Carnivore"
"Cisticola erythrops",3.2,3.5,"Grassland","Carnivore"
"Cisticola exilis",2.1,2.5,"Grassland","Carnivore"
"Cisticola eximius",1.9,2.5,"Grassland","Carnivore"
"Cisticola fulvicapilla",2.4,2.6,"Grassland","Carnivore"
"Cisticola galactotes",2.8,3.4,"Wetland","Carnivore"
"Cisticola guinea",2.4,3.1,"Woodland","Carnivore"
"Cisticola haesitatus",1.9,2.2,"Shrubland","Carnivore"
"Cisticola hunteri",2.5,3.2,"Shrubland","Carnivore"
"Cisticola juncidis",2.3,2.6,"Grassland","Carnivore"
"Cisticola lais",2.7,3.3,"Grassland","Carnivore"
"Cisticola lateralis",3,4,"Shrubland","Carnivore"
"Cisticola melanurus",2,2.7,"Woodland","Carnivore"
"Cisticola nanus",2.1,2.5,"Grassland","Carnivore"
"Cisticola natalensis",3.4,4.6,"Grassland","Carnivore"
"Cisticola nigriloris",3.6,4.1,"Shrubland","Carnivore"
"Cisticola njombe",2.1,2.8,"Grassland","Carnivore"
"Cisticola pipiens",2.5,3.4,"Wetland","Carnivore"
"Cisticola restrictus",2.4,3.3,"Shrubland","Carnivore"
"Cisticola robustus",3.1,4,"Grassland","Carnivore"
"Cisticola ruficeps",2.4,3,"Grassland","Carnivore"
"Cisticola rufilatus",2.6,3.1,"Woodland","Carnivore"
"Cisticola rufus",2.1,2.5,"Shrubland","Carnivore"
"Cisticola subruficapilla",2,2.5,"Shrubland","Carnivore"
"Cisticola textrix",2.2,2.6,"Grassland","Carnivore"
"Cisticola tinniens",2.1,2.6,"Wetland","Carnivore"
"Cisticola troglodytes",2,2.4,"Shrubland","Carnivore"
"Cisticola woosnami",2.7,3.7,"Grassland","Carnivore"
"Drymocichla incana",3,2.7,"Woodland","Carnivore"
"Eminia lepida",3.5,3.6,"Shrubland","Carnivore"
"Eremomela canescens",2.7,2.6,"Woodland","Carnivore"
"Eremomela salvadorii",2.5,2.4,"Shrubland","Carnivore"
"Euryptila subcinnamomea",2.5,3.1,"Shrubland","Carnivore"
"Heliolais erythropterus",3,3.7,"Woodland","Carnivore"
"Hypergerus atriceps",4,4.5,"Forest","Carnivore"
"Incana incana",2.5,2.6,"Shrubland","Carnivore"
"Malcorus pectoralis",2.5,2.9,"Shrubland","Carnivore"
"Oreolais pulchra",3.4,2.5,"Forest","Carnivore"
"Oreolais ruwenzorii",3.1,2.7,"Forest","Carnivore"
"Phragmacia substriata",2.8,2.7,"Shrubland","Carnivore"
"Phyllolais pulchella",2.4,2.1,"Woodland","Carnivore"
"Prinia atrogularis",2.4,2.9,"Grassland","Carnivore"
"Prinia bairdii",3.4,3.4,"Forest","Carnivore"
"Prinia buchanani",2.2,3,"Grassland","Carnivore"
"Prinia burnesii",2.4,3.2,"Grassland","Carnivore"
"Prinia cinereocapilla",2.3,2.5,"Woodland","Carnivore"
"Prinia crinigera",2.2,3.2,"Shrubland","Carnivore"
"Prinia familiaris",2.7,3.2,"Shrubland","Carnivore"
"Prinia flavicans",2.4,2.8,"Shrubland","Carnivore"
"Prinia flaviventris",2.9,2.6,"Shrubland","Carnivore"
"Prinia fluviatilis",2.8,3,"Wetland","Carnivore"
"Prinia gracilis",2.1,2.2,"Shrubland","Carnivore"
"Prinia hodgsonii",2.2,2.3,"Shrubland","Carnivore"
"Prinia hypoxantha",2.8,2.8,"Woodland","Carnivore"
"Prinia inornata",2.3,2.6,"Shrubland","Carnivore"
"Prinia leontica",3,2.9,"Forest","Carnivore"
"Prinia leucopogon",3,3.2,"Forest","Carnivore"
"Prinia maculosa",2.2,2.5,"Shrubland","Carnivore"
"Prinia molleri",2.9,2.9,"Forest","Carnivore"
"Prinia polychroa",3.1,3.9,"Grassland","Carnivore"
"Prinia robertsi",2.8,2.8,"Shrubland","Carnivore"
"Prinia rufescens",2.7,2.7,"Shrubland","Carnivore"
"Prinia socialis",2.2,2.4,"Grassland","Carnivore"
"Prinia somalica",2.5,2.5,"Shrubland","Carnivore"
"Prinia subflava",2.9,3,"Shrubland","Carnivore"
"Prinia sylvatica",2.5,3.3,"Shrubland","Carnivore"
"Rhopophilus pekinensis",3.5,4.4,"Shrubland","Carnivore"
"Scotocerca inquieta",2.1,2.4,"Woodland","Carnivore"
"Spiloptila clamans",2.5,2.7,"Shrubland","Carnivore"
"Spiloptila rufifrons",2.3,2.7,"Shrubland","Carnivore"
"Urolais epichlorus",2.9,2.9,"Forest","Carnivore"
"Climacteris affinis",3.2,3,"Shrubland","Carnivore"
"Climacteris erythrops",3.1,3.5,"Forest","Carnivore"
"Climacteris melanurus",4.2,4,"Forest","Carnivore"
"Climacteris picumnus",3.4,3.6,"Forest","Carnivore"
"Climacteris rufus",3.6,3.6,"Woodland","Carnivore"
"Cormobates leucophaea",2.8,3.2,"Forest","Carnivore"
"Cormobates placens",2.9,3,"Forest","Carnivore"
"Cnemophilus loriae",6.1,5.6,"Forest","Herbivore"
"Cnemophilus macgregorii",5.4,6,"Forest","Herbivore"
"Loboparadisea sericea",6.1,5.5,"Forest","Herbivore"
"Coereba flaveola",3.6,3.9,"Shrubland","Herbivore"
"Colluricincla boweri",6.8,8.1,"Forest","Carnivore"
"Colluricincla harmonica",5.5,7.9,"Forest","Carnivore"
"Colluricincla megarhyncha",5.3,6.6,"Forest","Carnivore"
"Colluricincla sanghirensis",5.7,6.4,"Forest","Carnivore"
"Colluricincla tenebrosa",5.3,6.8,"Forest","Carnivore"
"Colluricincla umbrina",6.7,7.3,"Forest","Carnivore"
"Colluricincla woodwardi",5.8,7.2,"Rock","Carnivore"
"Oreoica gutturalis",5.9,7.8,"Shrubland","Carnivore"
"Pitohui cristatus",5.7,9.6,"Forest","Carnivore"
"Pitohui dichrous",7.5,8.4,"Forest","Herbivore"
"Pitohui ferrugineus",8.3,9.4,"Forest","Omnivore"
"Pitohui incertus",6.6,8.6,"Forest","Omnivore"
"Pitohui kirhocephalus",8.2,9.1,"Forest","Omnivore"
"Pitohui nigrescens",8.6,9.6,"Forest","Omnivore"
"Conopophaga ardesiaca",5.7,4.3,"Forest","Carnivore"
"Conopophaga aurita",5.8,4.4,"Forest","Carnivore"
"Conopophaga castaneiceps",5.9,4.4,"Forest","Carnivore"
"Conopophaga cearae",5.2,4.6,"Forest","Carnivore"
"Conopophaga lineata",4.9,4,"Forest","Carnivore"
"Conopophaga melanogaster",6.2,5.2,"Forest","Carnivore"
"Conopophaga melanops",5.6,4.9,"Forest","Carnivore"
"Conopophaga peruviana",6.2,4.5,"Forest","Carnivore"
"Conopophaga roberti",5.7,4.2,"Forest","Carnivore"
"Corcorax melanorhamphos",9.2,11.9,"Woodland","Omnivore"
"Struthidea cinerea",7.7,11.4,"Shrubland","Omnivore"
"Aphelocoma californica",8.8,9.3,"Shrubland","Omnivore"
"Aphelocoma coerulescens",9.1,9.1,"Shrubland","Omnivore"
"Aphelocoma insularis",9.7,10.9,"Shrubland","Omnivore"
"Aphelocoma ultramarina",8.7,9.9,"Forest","Omnivore"
"Aphelocoma unicolor",10.6,10.9,"Forest","Omnivore"
"Calocitta colliei",12.2,14.2,"Woodland","Omnivore"
"Calocitta formosa",12.8,14.4,"Woodland","Omnivore"
"Cissa chinensis",11.7,14.1,"Forest","Carnivore"
"Cissa hypoleuca",9.5,15.3,"Forest","Carnivore"
"Cissa thalassina",11.4,14,"Forest","Carnivore"
"Corvus albicollis",19.6,34,"Rock","Omnivore"
"Corvus albus",15.6,20.6,"Shrubland","Carnivore"
"Corvus bennetti",13.4,16.6,"Shrubland","Omnivore"
"Corvus brachyrhynchos",14.7,17.7,"Human Modified","Omnivore"
"Corvus capensis",14.5,16,"Grassland","Omnivore"
"Corvus caurinus",13.2,15.9,"Coastal","Omnivore"
"Corvus corax",21.9,27.9,"Forest","Omnivore"
"Corvus corone",15.1,18.5,"Human Modified","Carnivore"
"Corvus coronoides",16.2,20.1,"Shrubland","Omnivore"
"Corvus crassirostris",24.3,41.1,"Rock","Carnivore"
"Corvus cryptoleucus",17.2,20.1,"Grassland","Carnivore"
"Corvus dauuricus",11,12.8,"Grassland","Omnivore"
"Corvus edithae",14.3,18.7,"Desert","Carnivore"
"Corvus enca",15.3,18.7,"Forest","Omnivore"
"Corvus florensis",12.5,16.5,"Forest","Omnivore"
"Corvus frugilegus",14.8,18.3,"Grassland","Omnivore"
"Corvus fuscicapillus",18.2,26.6,"Forest","Herbivore"
"Corvus hawaiiensis",18.8,24.7,"Forest","Omnivore"
"Corvus imparatus",12.7,13,"Shrubland","Omnivore"
"Corvus jamaicensis",13.9,16.6,"Forest","Omnivore"
"Corvus kubaryi",13.3,18.3,"Forest","Omnivore"
"Corvus leucognaphalus",16.8,20.9,"Forest","Omnivore"
"Corvus levaillantii",17.6,21.8,"Woodland","Omnivore"
"Corvus macrorhynchos",17.3,22,"Woodland","Omnivore"
"Corvus meeki",18.5,24.1,NA,"Omnivore"
"Corvus mellori",13.6,17.9,"Shrubland","Omnivore"
"Corvus minutus",11.6,16.6,"Forest","Omnivore"
"Corvus monedula",11.2,13.3,"Human Modified","Omnivore"
"Corvus moneduloides",11.9,17.1,"Woodland","Omnivore"
"Corvus nasicus",13.8,18.8,"Forest","Omnivore"
"Corvus orru",16.7,20,"Forest","Omnivore"
"Corvus ossifragus",13.8,14.8,"Coastal","Omnivore"
"Corvus palmarum",12.2,16.2,"Forest","Omnivore"
"Corvus rhipidurus",16.4,21.9,"Grassland","Omnivore"
"Corvus ruficollis",17.1,22,"Desert","Omnivore"
"Corvus sinaloae",12.3,13.1,"Forest","Omnivore"
"Corvus splendens",13.9,16.7,"Human Modified","Omnivore"
"Corvus tasmanicus",15.4,19.2,"Woodland","Omnivore"
"Corvus torquatus",15.5,18.5,"Shrubland","Omnivore"
"Corvus tristis",19.2,24,"Forest","Omnivore"
"Corvus typicus",13.7,16.9,"Forest","Carnivore"
"Corvus unicolor",14.2,16.9,"Forest","Omnivore"
"Corvus validus",18,23.4,"Forest","Herbivore"
"Corvus woodfordi",18.1,23.7,"Forest","Omnivore"
"Crypsirina cucullata",7.9,10.2,"Forest","Carnivore"
"Crypsirina temia",9.8,11.8,"Forest","Omnivore"
"Cyanocitta cristata",10.1,8.9,"Woodland","Omnivore"
"Cyanocitta stelleri",10.2,9.5,"Forest","Omnivore"
"Cyanocorax affinis",12.2,13.5,"Forest","Omnivore"
"Cyanocorax beecheii",13.1,14.5,"Forest","Omnivore"
"Cyanocorax caeruleus",13.5,15.5,"Forest","Omnivore"
"Cyanocorax cayanus",11.5,13.1,"Shrubland","Omnivore"
"Cyanocorax chrysops",10.9,12.7,"Forest","Carnivore"
"Cyanocorax cristatellus",12.5,14.7,"Woodland","Omnivore"
"Cyanocorax cyanomelas",12.1,14.2,"Woodland","Omnivore"
"Cyanocorax cyanopogon",10.1,11.5,"Woodland","Omnivore"
"Cyanocorax dickeyi",11.1,12.5,"Forest","Herbivore"
"Cyanocorax heilprini",11.1,12.7,"Forest","Omnivore"
"Cyanocorax luxuosus",9.2,9.4,"Forest","Omnivore"
"Cyanocorax melanocyaneus",10.6,11.3,"Forest","Omnivore"
"Cyanocorax morio",13.2,15.8,"Forest","Omnivore"
"Cyanocorax mystacalis",10.6,12.5,"Woodland","Omnivore"
"Cyanocorax sanblasianus",10.9,13,"Forest","Omnivore"
"Cyanocorax violaceus",12.6,14.6,"Forest","Omnivore"
"Cyanocorax yncas",9.5,10.2,"Forest","Omnivore"
"Cyanocorax yucatanicus",11.3,12.7,"Woodland","Omnivore"
"Cyanolyca argentigula",8.1,9.3,"Forest","Carnivore"
"Cyanolyca armillata",9.2,10.3,"Forest","Carnivore"
"Cyanolyca cucullata",10.2,11.2,"Forest","Omnivore"
"Cyanolyca mirabilis",6.9,8.3,"Forest","Carnivore"
"Cyanolyca nana",6.5,7.3,"Forest","Carnivore"
"Cyanolyca pulchra",10.2,11.6,"Forest","Carnivore"
"Cyanolyca pumilo",7.4,8.1,"Forest","Carnivore"
"Cyanolyca turcosa",9.6,10.7,"Forest","Carnivore"
"Cyanolyca viridicyanus",9.4,10.3,"Forest","Carnivore"
"Cyanopica cyanus",8.3,8.5,"Woodland","Omnivore"
"Dendrocitta bayleyi",9.3,11.4,"Forest","Carnivore"
"Dendrocitta formosae",11.7,14.7,"Forest","Omnivore"
"Dendrocitta frontalis",9.7,14.9,"Forest","Carnivore"
"Dendrocitta leucogastra",11.7,14.8,"Forest","Carnivore"
"Dendrocitta occipitalis",12,15.1,"Forest","Omnivore"
"Dendrocitta vagabunda",10.6,14,"Woodland","Carnivore"
"Garrulus glandarius",10.4,12.2,"Forest","Omnivore"
"Garrulus lanceolatus",8.9,11.3,"Forest","Omnivore"
"Garrulus lidthi",10.8,14.4,"Forest","Omnivore"
"Gymnorhinus cyanocephalus",8.3,8.8,"Forest","Omnivore"
"Nucifraga caryocatactes",12.4,14.3,"Forest","Omnivore"
"Nucifraga columbiana",11.6,12.3,"Forest","Omnivore"
"Perisoreus canadensis",9,8.6,"Forest","Omnivore"
"Perisoreus infaustus",9.4,9.1,"Forest","Omnivore"
"Perisoreus internigrans",8.9,9,"Forest","Omnivore"
"Pica hudsonia",11.1,12.9,"Grassland","Omnivore"
"Pica nuttalli",11.4,13.2,"Shrubland","Carnivore"
"Pica pica",12.3,13.7,"Human Modified","Omnivore"
"Platylophus galericulatus",8.8,10.6,"Forest","Carnivore"
"Platysmurus leucopterus",13.1,16.6,"Forest","Omnivore"
"Podoces biddulphi",9.5,10.3,"Desert","Omnivore"
"Podoces hendersoni",9.9,9.8,"Desert","Omnivore"
"Podoces panderi",7.9,7.6,"Desert","Omnivore"
"Podoces pleskei",8.9,8.7,"Desert","Omnivore"
"Ptilostomus afer",12.1,14.3,"Grassland","Omnivore"
"Pyrrhocorax graculus",9.3,9.8,"Rock","Carnivore"
"Pyrrhocorax pyrrhocorax",12.2,12.6,"Rock","Carnivore"
"Temnurus temnurus",8.8,11.6,"Forest","Carnivore"
"Urocissa caerulea",13.1,16.6,"Forest","Omnivore"
"Urocissa erythrorhyncha",12.1,13,"Forest","Carnivore"
"Urocissa flavirostris",12.1,13.3,"Forest","Carnivore"
"Urocissa ornata",11.6,15.5,"Forest","Omnivore"
"Urocissa whiteheadi",13,16.2,"Forest","Omnivore"
"Zavattariornis stresemanni",7.9,9.7,"Shrubland","Carnivore"
"Ampelioides tschudii",7.1,6.2,"Forest","Omnivore"
"Ampelion rubrocristatus",5.6,6.8,"Forest","Herbivore"
"Ampelion rufaxilla",4.9,5.4,"Forest","Omnivore"
"Calyptura cristata",3.1,3.8,NA,"Omnivore"
"Carpodectes antoniae",6.3,6.8,"Woodland","Herbivore"
"Carpodectes hopkei",7.1,6.8,"Forest","Herbivore"
"Carpodectes nitidus",6.3,7.4,"Forest","Herbivore"
"Carpornis cucullata",5.6,6.8,"Forest","Herbivore"
"Carpornis melanocephala",5.5,6.9,"Forest","Herbivore"
"Cephalopterus glabricollis",17.6,15.1,"Forest","Omnivore"
"Cephalopterus ornatus",19.7,18.9,"Forest","Omnivore"
"Cephalopterus penduliger",18.4,17.2,"Forest","Herbivore"
"Conioptilon mcilhennyi",7.2,6.1,"Forest","Herbivore"
"Cotinga amabilis",5.3,5.4,"Forest","Herbivore"
"Cotinga cayana",6.2,5,"Forest","Herbivore"
"Cotinga cotinga",5.5,4.9,"Forest","Herbivore"
"Cotinga maculata",5.9,5.3,"Forest","Omnivore"
"Cotinga maynana",5.2,5.5,"Forest","Herbivore"
"Cotinga nattererii",6,5.7,"Forest","Herbivore"
"Cotinga ridgwayi",5.2,5.2,"Forest","Herbivore"
"Doliornis remseni",4.9,5.1,"Forest","Herbivore"
"Doliornis sclateri",5,5.8,"Forest","Herbivore"
"Gymnoderus foetidus",9.5,8.8,"Forest","Herbivore"
"Haematoderus militaris",14.9,12.3,"Forest","Carnivore"
"Iodopleura fusca",5.9,4.4,"Forest","Carnivore"
"Iodopleura isabellae",5.2,4.1,"Forest","Carnivore"
"Iodopleura pipra",3.6,3.5,"Forest","Herbivore"
"Laniisoma buckleyi",6,5.6,"Forest","Omnivore"
"Laniisoma elegans",5.4,6.1,"Forest","Omnivore"
"Laniocera hypopyrra",6.1,6.2,"Forest","Carnivore"
"Laniocera rufescens",6,6.9,"Forest","Carnivore"
"Lipaugus fuscocinereus",10.1,9.3,"Forest","Herbivore"
"Lipaugus lanioides",8,8.3,"Forest","Herbivore"
"Lipaugus streptophorus",8.6,7.3,"Forest","Herbivore"
"Lipaugus unirufus",7.2,8.1,"Forest","Omnivore"
"Lipaugus uropygialis",8.4,9.2,"Forest","Omnivore"
"Lipaugus vociferans",8,7.3,"Forest","Omnivore"
"Lipaugus weberi",7,7.1,"Forest","Herbivore"
"Oxyruncus cristatus",5.5,5.6,"Forest","Herbivore"
"Pachyramphus aglaiae",7.1,6.6,"Forest","Omnivore"
"Pachyramphus albogriseus",7.1,5.5,"Forest","Omnivore"
"Pachyramphus castaneus",6.2,5.1,"Forest","Carnivore"
"Pachyramphus cinnamomeus",7.6,5.6,"Forest","Carnivore"
"Pachyramphus homochrous",7.7,7.4,"Forest","Omnivore"
"Pachyramphus major",7.2,6.2,"Forest","Omnivore"
"Pachyramphus marginatus",6.9,5.2,"Forest","Omnivore"
"Pachyramphus minor",8.4,7.6,"Forest","Omnivore"
"Pachyramphus niger",8.4,7.4,"Forest","Omnivore"
"Pachyramphus polychopterus",7,5.7,"Forest","Omnivore"
"Pachyramphus rufus",6.6,5.4,"Forest","Carnivore"
"Pachyramphus spodiurus",6.9,5.5,"Woodland","Carnivore"
"Pachyramphus surinamus",7.1,5.6,"Forest","Carnivore"
"Pachyramphus validus",8.6,7.8,"Forest","Carnivore"
"Pachyramphus versicolor",5.2,4.4,"Forest","Carnivore"
"Pachyramphus viridis",6.6,5.5,"Forest","Carnivore"
"Pachyramphus xanthogenys",6.8,5.3,"Forest","Carnivore"
"Perissocephalus tricolor",15.5,15.1,"Forest","Herbivore"
"Phibalura flavirostris",6.4,5.9,"Forest","Herbivore"
"Phoenicircus carnifex",5.9,6.4,"Forest","Herbivore"
"Phoenicircus nigricollis",5.5,6.9,"Forest","Herbivore"
"Phytotoma raimondii",7.3,8.1,"Woodland","Herbivore"
"Phytotoma rara",7.7,8.6,"Shrubland","Herbivore"
"Phytotoma rutila",6.4,7.1,"Shrubland","Herbivore"
"Pipreola arcuata",6.2,6.5,"Forest","Herbivore"
"Pipreola aureopectus",5.2,4.8,"Forest","Herbivore"
"Pipreola chlorolepidota",5.2,4.3,"Forest","Herbivore"
"Pipreola formosa",4.9,4.6,"Forest","Herbivore"
"Pipreola frontalis",5.1,4.7,"Forest","Herbivore"
"Pipreola intermedia",4.6,5,"Forest","Herbivore"
"Pipreola jucunda",6.3,5.7,"Forest","Herbivore"
"Pipreola lubomirskii",5.8,5.1,"Forest","Herbivore"
"Pipreola pulchra",5.7,5.8,"Forest","Herbivore"
"Pipreola riefferii",5.2,4.8,"Forest","Herbivore"
"Pipreola whitelyi",5.1,4.9,"Forest","Herbivore"
"Porphyrolaema porphyrolaema",6.5,6.3,"Forest","Herbivore"
"Procnias albus",7.1,6,"Forest","Herbivore"
"Procnias averano",7.5,6.7,"Forest","Herbivore"
"Procnias nudicollis",7.1,5.9,"Forest","Herbivore"
"Procnias tricarunculatus",9.7,7.4,"Forest","Herbivore"
"Pyroderus scutatus",13.8,15.5,"Forest","Omnivore"
"Querula purpurata",12.5,9.7,"Forest","Omnivore"
"Rupicola peruvianus",8.8,12.4,"Forest","Herbivore"
"Rupicola rupicola",10.6,12.4,"Forest","Herbivore"
"Schiffornis major",4.8,5.4,"Forest","Omnivore"
"Schiffornis turdina",5.1,5.9,"Forest","Omnivore"
"Schiffornis virescens",3.8,4.5,"Forest","Omnivore"
"Snowornis cryptolophus",7.2,7.8,"Forest","Omnivore"
"Snowornis subalaris",6.6,7,"Forest","Omnivore"
"Tijuca atra",8.5,9.3,"Forest","Herbivore"
"Tijuca condita",5.6,6.9,"Forest","Herbivore"
"Tityra cayana",11.4,10.6,"Forest","Herbivore"
"Tityra inquisitor",11.6,9.2,"Forest","Herbivore"
"Tityra semifasciata",10.4,10.7,"Forest","Herbivore"
"Xenopsaris albinucha",3.9,3.9,"Forest","Carnivore"
"Xipholena atropurpurea",5.2,5.4,"Forest","Herbivore"
"Xipholena lamellipennis",6.1,5.4,"Forest","Herbivore"
"Xipholena punicea",6.3,5.7,"Forest","Herbivore"
"Zaratornis stresemanni",6.2,7.2,"Forest","Herbivore"
"Cracticus cassicus",13.1,16.8,"Forest","Carnivore"
"Cracticus louisiadensis",14,17.6,NA,"Carnivore"
"Cracticus mentalis",9.3,12.6,"Woodland","Carnivore"
"Cracticus nigrogularis",9.8,13.8,"Woodland","Carnivore"
"Cracticus quoyi",13.6,17.5,"Forest","Carnivore"
"Cracticus torquatus",9.6,12.7,"Woodland","Omnivore"
"Gymnorhina tibicen",11.9,15.8,"Woodland","Carnivore"
"Peltops blainvillii",9.7,9,"Forest","Carnivore"
"Peltops montanus",9.5,8.2,"Forest","Carnivore"
"Strepera fuliginosa",13.5,21.7,"Forest","Carnivore"
"Strepera graculina",14.3,19.8,"Forest","Omnivore"
"Strepera versicolor",13.4,20.1,"Forest","Carnivore"
"Dasyornis brachypterus",3.5,4.8,"Forest","Omnivore"
"Dasyornis broadbenti",4.6,5.6,"Shrubland","Omnivore"
"Dasyornis longirostris",3.2,4.5,"Shrubland","Omnivore"
"Campylorhamphus falcularius",4.3,5.8,"Forest","Carnivore"
"Campylorhamphus procurvoides",4,5.3,"Forest","Carnivore"
"Campylorhamphus pucherani",5.8,7,"Forest","Carnivore"
"Campylorhamphus pusillus",4.2,5.7,"Forest","Carnivore"
"Campylorhamphus trochilirostris",4.4,5.5,"Forest","Carnivore"
"Deconychura longicauda",5.5,5.5,"Forest","Carnivore"
"Deconychura stictolaema",4.8,4.4,"Forest","Carnivore"
"Dendrexetastes rufigula",8.5,9.2,"Forest","Carnivore"
"Dendrocincla anabatina",6,6.2,"Forest","Carnivore"
"Dendrocincla fuliginosa",6.4,6.6,"Forest","Carnivore"
"Dendrocincla homochroa",5.2,6,"Forest","Carnivore"
"Dendrocincla merula",5.8,5.9,"Forest","Carnivore"
"Dendrocincla tyrannina",7.5,7.9,"Forest","Carnivore"
"Dendrocolaptes certhia",9.4,8,"Forest","Carnivore"
"Dendrocolaptes hoffmannsi",8.5,8.3,"Forest","Carnivore"
"Dendrocolaptes picumnus",8.3,8.3,"Forest","Carnivore"
"Dendrocolaptes platyrostris",8.3,8.2,"Forest","Carnivore"
"Dendrocolaptes sanctithomae",8.9,8.3,"Forest","Carnivore"
"Dendroplex kienerii",4.9,6.4,"Forest","Carnivore"
"Dendroplex picus",4.8,6.5,"Forest","Carnivore"
"Drymornis bridgesii",5.3,6.9,"Woodland","Carnivore"
"Glyphorynchus spirurus",4.4,4.2,"Forest","Carnivore"
"Hylexetastes brigidai",8.4,11.9,"Forest","Carnivore"
"Hylexetastes perrotii",9.6,11.1,"Forest","Carnivore"
"Hylexetastes stresemanni",9.6,10.9,"Forest","Carnivore"
"Hylexetastes uniformis",8.6,11,"Forest","Carnivore"
"Lepidocolaptes affinis",4.2,5.5,"Forest","Carnivore"
"Lepidocolaptes albolineatus",4.3,5.3,"Forest","Carnivore"
"Lepidocolaptes angustirostris",3.8,5.1,"Woodland","Carnivore"
"Lepidocolaptes falcinellus",3.9,5.2,"Forest","Carnivore"
"Lepidocolaptes lacrymiger",4.6,5.5,"Forest","Carnivore"
"Lepidocolaptes leucogaster",4,5.6,"Forest","Carnivore"
"Lepidocolaptes souleyetii",4.1,5.4,"Woodland","Carnivore"
"Lepidocolaptes squamatus",3.9,5.4,"Forest","Carnivore"
"Nasica longirostris",7.4,8.2,"Forest","Carnivore"
"Sittasomus griseicapillus",4,3.7,"Forest","Carnivore"
"Xiphocolaptes albicollis",7.7,10.7,"Forest","Carnivore"
"Xiphocolaptes falcirostris",7.3,9.6,"Woodland","Carnivore"
"Xiphocolaptes major",8.4,10.9,"Woodland","Carnivore"
"Xiphocolaptes promeropirhynchus",8.3,10.5,"Forest","Carnivore"
"Xiphorhynchus elegans",5.7,6.2,"Forest","Carnivore"
"Xiphorhynchus erythropygius",5.5,7,"Forest","Carnivore"
"Xiphorhynchus flavigaster",5.6,8,"Forest","Carnivore"
"Xiphorhynchus fuscus",3.7,5.7,"Forest","Carnivore"
"Xiphorhynchus guttatus",6.3,8.5,"Forest","Carnivore"
"Xiphorhynchus lachrymosus",6.1,8.6,"Forest","Carnivore"
"Xiphorhynchus obsoletus",4.8,6.4,"Forest","Carnivore"
"Xiphorhynchus ocellatus",5.5,6.1,"Forest","Carnivore"
"Xiphorhynchus pardalotus",5.7,6.6,"Forest","Carnivore"
"Xiphorhynchus spixii",5.3,6.1,"Forest","Carnivore"
"Xiphorhynchus susurrans",5.4,7,"Forest","Carnivore"
"Xiphorhynchus triangularis",5.3,7,"Forest","Carnivore"
"Dicaeum aeneum",3.3,3.2,"Forest","Omnivore"
"Dicaeum aeruginosum",3.9,5.1,"Forest","Herbivore"
"Dicaeum agile",3.6,3.6,"Forest","Herbivore"
"Dicaeum annae",3.3,3.5,"Forest","Herbivore"
"Dicaeum anthonyi",4.4,4.8,"Forest","Herbivore"
"Dicaeum aureolimbatum",3.4,3.5,"Forest","Omnivore"
"Dicaeum australe",3.4,3.7,"Forest","Herbivore"
"Dicaeum bicolor",3.5,3.8,"Forest","Herbivore"
"Dicaeum celebicum",2.8,2.7,"Forest","Herbivore"
"Dicaeum chrysorrheum",3.5,3.8,"Forest","Herbivore"
"Dicaeum concolor",2.8,2.8,"Forest","Herbivore"
"Dicaeum cruentatum",3.2,3,"Forest","Herbivore"
"Dicaeum erythrorhynchos",2.5,2.9,"Forest","Herbivore"
"Dicaeum erythrothorax",2.8,3.1,"Forest","Herbivore"
"Dicaeum everetti",3.3,4.1,"Forest","Herbivore"
"Dicaeum eximium",3,3.2,"Forest","Herbivore"
"Dicaeum geelvinkianum",3.2,3.5,"Forest","Herbivore"
"Dicaeum haematostictum",2.9,3.3,"Forest","Omnivore"
"Dicaeum hirundinaceum",3.3,3.5,"Forest","Omnivore"
"Dicaeum hypoleucum",2.7,3.1,"Forest","Herbivore"
"Dicaeum igniferum",2.6,2.9,"Forest","Herbivore"
"Dicaeum ignipectus",2.5,2.7,"Forest","Herbivore"
